locales,browsers,OS
de,SF3,VISTA
da,IE7,VISTA
en_US,IE6,XP
en_AU,FF3,VISTA
en_GB,SF3,XP
es,IE8,VISTA
fr,FF3,XP
it,Chrome,XP
ja,FF2,VISTA
ko,Chrome,VISTA
nl,FF2,VISTA
pl,FF2,XP
pt_BR,IE7,XP
ru,IE7,VISTA
sv,FF3,VISTA
zh_CN,IE7,XP
zh_HK,IE6,XP
da,FF3,XP
de,IE6,XP
en_US,IE7,VISTA
en_AU,SF3,XP
en_GB,Chrome,VISTA
es,FF2,XP
fr,IE8,VISTA
it,IE8,VISTA
ja,IE7,XP
ko,FF2,XP
nl,IE6,XP
pl,IE8,VISTA
pt_BR,Chrome,VISTA
ru,IE6,XP
sv,IE7,XP
zh_CN,SF3,VISTA
zh_HK,Chrome,VISTA
en_AU,IE8,VISTA
zh_CN,FF3,VISTA
en_US,SF3,XP
da,FF2,VISTA
da,IE6,XP
en_US,IE8,VISTA
de,FF2,XP
en_GB,FF3,XP
es,Chrome,VISTA
fr,Chrome,XP
pt_BR,SF3,VISTA
ko,IE6,XP
zh_HK,IE8,VISTA
ru,FF3,XP
sv,SF3,XP
it,IE6,XP
es,IE7,VISTA
ru,IE8,VISTA
en_AU,FF2,VISTA
ja,Chrome,XP
nl,FF3,XP
it,SF3,XP
pt_BR,IE6,XP
pl,IE7,XP
de,IE7,XP
en_GB,IE6,XP
nl,IE8,VISTA
pt_BR,FF2,VISTA
es,FF3,VISTA
fr,FF2,VISTA
fr,SF3,XP
ja,FF3,VISTA
ko,IE8,VISTA
sv,Chrome,XP
pl,Chrome,XP
zh_CN,Chrome,VISTA
zh_HK,SF3,XP
sv,IE6,XP
zh_HK,IE7,VISTA
sv,IE8,VISTA
da,Chrome,XP
de,Chrome,XP
en_US,Chrome,XP
en_AU,Chrome,VISTA
en_GB,IE7,XP
it,IE7,VISTA
zh_CN,FF2,VISTA
de,FF3,VISTA
ja,IE8,VISTA
ko,SF3,VISTA
nl,Chrome,VISTA
fr,IE6,XP
it,FF2,XP
pl,SF3,VISTA
ru,Chrome,VISTA
da,SF3,XP
en_US,FF2,VISTA
en_AU,IE7,VISTA
en_GB,FF2,XP
es,SF3,VISTA
ja,SF3,XP
ko,FF3,XP
en_AU,IE6,XP
pt_BR,IE8,VISTA
nl,SF3,VISTA
pl,FF3,VISTA
ru,FF2,VISTA
zh_CN,IE6,XP
de,IE8,VISTA
it,FF3,XP
pl,IE6,XP
nl,IE7,VISTA
zh_HK,FF3,VISTA
da,IE8,VISTA
en_US,FF3,VISTA
en_GB,IE8,VISTA
ja,IE6,XP
es,IE6,XP
ko,IE7,VISTA
zh_HK,FF2,XP
fr,IE7,VISTA
zh_CN,IE8,VISTA
pt_BR,FF3,XP
sv,FF2,XP
ru,SF3,VISTA
